City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,chokurdakh,70.6333,147.9167,-36.86,100,95,2.24,RU,1674531294
212,balagansk,54.0103,103.0544,-22.37,92,100,3.16,RU,1674531294
213,formosa,-26.1775,-58.1781,27.99,69,0,1.54,AR,1674531295
214,vila franca do campo,37.7167,-25.4333,15.23,81,73,6.34,PT,1674531295
215,mananara,-16.1667,49.7667,25.09,76,100,2.52,MG,1674531296
216,nanortalik,60.1432,-45.2371,-2.18,96,100,3.9,GL,1674531296
217,hasaki,35.7333,140.8333,9.01,64,100,7.5,JP,1674531116
218,eureka,40.8021,-124.1637,7.66,91,2,0.45,US,1674531043
219,kerman,30.2832,57.0788,-7.08,86,0,2.06,IR,1674531297
220,binghamton,42.0987,-75.918,-0.47,85,100,4.47,US,1674531298
221,tanta,30.7885,31.0019,11.5,94,0,3.2,EG,1674531298
222,praia,14.9215,-23.5087,19.3,72,20,3.09,CV,1674531298
223,muisne,0.6,-80.0333,24.46,89,52,0.25,EC,1674531299
224,cape town,-33.9258,18.4232,21.32,76,20,7.2,ZA,1674531016
225,adrar,20.5022,-10.0711,16.13,17,0,3.99,MR,1674531299
226,chicama,-7.8447,-79.1469,19.3,72,91,2.26,PE,1674531299
227,bengkulu,-3.8004,102.2655,24.01,90,100,3.41,ID,1674531300
228,bahir dar,11.5936,37.3908,15.51,47,93,1.67,ET,1674531300
229,ola,59.5833,151.2833,-21.36,83,96,4.02,RU,1674531300
230,touros,-5.1989,-35.4608,26.37,76,36,4.41,BR,1674531301
231,boa vista,2.8197,-60.6733,24.99,73,0,2.57,BR,1674531301
232,mount gambier,-37.8333,140.7667,23.49,45,50,3.93,AU,1674531216
233,french harbor,16.35,-86.4333,25.0,92,20,3.6,HN,1674531302
234,talakan,50.3167,130.3667,-28.41,84,100,1.96,RU,1674531302
235,longyearbyen,78.2186,15.6401,-4.09,63,20,4.63,SJ,1674531302
236,kununurra,-15.7667,128.7333,33.99,46,100,2.57,AU,1674531302
237,haines junction,60.7522,-137.5108,-8.15,98,100,1.75,CA,1674531303
238,trinidad,-14.8333,-64.9,25.82,81,97,2.15,BO,1674531303
239,omsukchan,62.5333,155.8,-27.73,96,100,2.53,RU,1674531303
240,shajapur,23.4333,76.2667,19.75,56,42,2.39,IN,1674531303
241,cabanas,22.9758,-82.9219,22.63,88,4,3.59,CU,1674531304
242,ossora,59.2353,163.0719,-11.05,93,100,7.58,RU,1674531304
243,hamilton,39.1834,-84.5333,-0.14,84,0,3.09,US,1674531304
244,port macquarie,-31.4333,152.9167,28.83,69,32,6.3,AU,1674531040
245,puerto ayora,-0.7393,-90.3518,23.64,98,82,0.89,EC,1674531305
246,mao,39.8885,4.2658,7.31,81,75,6.17,ES,1674531305
247,honiara,-9.4333,159.95,26.19,89,92,1.12,SB,1674531207
248,gat,31.61,34.7642,15.78,100,0,0.86,IL,1674531306
249,karratha,-20.7377,116.8463,32.0,51,99,5.96,AU,1674531193
250,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1674531306
251,bundaberg,-24.85,152.35,28.64,54,3,3.8,AU,1674531306
252,tura,25.5198,90.2201,23.57,37,73,0.69,IN,1674531307
253,nouadhibou,20.931,-17.0347,17.5,66,0,7.47,MR,1674531308
254,coihueco,-36.6167,-71.8333,13.8,87,0,1.37,CL,1674531308
255,rocha,-34.4833,-54.3333,14.66,82,0,1.47,UY,1674531308
256,guerrero negro,27.9769,-114.0611,13.26,42,13,4.13,MX,1674531308
257,kirkland lake,48.1446,-80.0377,-3.84,93,100,1.54,CA,1674531308
258,panaba,21.2833,-88.2667,22.18,85,21,3.29,MX,1674531309
